0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
之前,男,作家,出軌,的,案例,?,林清玄,轉戰,中國,",",繼續,吸引,信徒,",",過得,可爽,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
有,沒,有,被,風吹過,的,夏天,的,八卦,?,還記,得,昨天,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
有,沒,有,哈妮,來,台,的,八卦,?,雖然,走下坡,了,",",但是,廣告,裡面,很,可,愛,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
有人,會用,",",o,',_,',o,",",當,表情,符號,嗎,?,我,好,想,妳,",",twod,",",o,',_,',o,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
性交易,何時,就,地,合法化,?,國考,新增,國家練,精術士,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
北,漂族,的,老大,是,誰,?,連陳菊賴神,都,要,逃離,幸福,城市,了,",",你,說,呢,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
七天,後,要過,情人,節準備,好,沒,?,看,旗袍,台有,什麼,新花樣,>,<,",",情趣,裝,?,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
有,沒,有關,於,歪,國人,聘金,的,八卦,?,CCR,:,國情,不同,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
有,沒,有,耳,前,廔,管,的,八卦,?,我,都,把,金箍棒,縮小藏,在,裡面,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
有,沒,有,耶誕夜,適合,單身,狗,聽,的,歌,?,聖誕,快樂,",",金勾,盃,",",天天,快樂,",",金勾,盃,喔,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
有,沒,有,關務長,的,八卦,?,在,商港,游泳,",",你,有種,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
法律,是不是,超過,一半,犯,了,法律,明確,原則,?,有些,人,就是,喜翻,賣,弄,學問,阿,",",明,明白,話講,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
低收入,戶,可以,開名車,、,拿,名牌,包,嗎,?,可以,",",低,調點,財產,不要,在,自己,名下,就,好,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
百年,孤寂,這本書,想要,表達,什麼,?,很,好看,",",但,作者,說,沒,有,授權給,台灣,",",大家,都,是,看,盜版,的,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
舊衣,回收,之後會,跑,去,哪裡,?,拿,去,慈濟,or,育幼院,之類,也,不要,丟,回收,桶,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
今天,記者,會,做,哪些,車門,測試,?,搞不好,會,有,白,癡,再,車子行,進間,想,用力,掰,開門,說,測試,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
大人,ADHD,",",有救,嗎,?,可以,吃藥,的,就,吃,",",有人,想,吃,吃,不到,咧,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
館長,打,洛基,能撐,幾個,回合,?,被,綠,巨人,摔來,摔,去,那個,洛基,嗎,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
肥宅,的,朋友,也,會,是,肥宅,嗎,?,只有,你,一個,人,看到,對,吧,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
我,朋友,要開,福特,野馬,跟,超跑,賽車,?,那部,電影,的,車好,假,",",道具,組在,嘛,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
