tweet,label
@Big_Jim777 happy birthday you dirty little bird  tear it up ,0
Ayo I jus had a mini heart attack behind the wheel..north Philly n fire crackers don't mix I http://t.co/o5v2E4LFtm,0
This flappy bird game addicting .,0
@NotEvanLarkin @bbcollins32 birds of a feather flock together y'all ,0
@AmazinMixBeauti why? You wanna gimme a baby? You look coolie..it might could work lol,0
RT @hoez4sale: Lmao they all trash beforeafter ,0
Looks like a tool but is useful as a clay hammer #fag @hOPPondis http://t.co/K7wqlAWRwM,0
Video: Charlie Baker remembers Tom Menino http://t.co/vdaOWLZksv,0
@LessThanJR And the Yankees gave you a win. :) Happy Birthday!,0
Rudy Throws Fastballs Near Charlies Chin..(No Sweat) Crist Ducking Giuliani Campaign Politics In Florida! DoG http://t.co/EJpdwlS5qjs-chin,0
were gunna shake our honkey tonk badonkadonks (': @SAMMI_boyden,0
"@jazqui That's why I'm partially glad that I have to say ""Hi ho, Kermit the Frog here"" to slip into my Kermit voice well.",0
Flappy bird on bull....,0
"@Brelston I realized it's the one on Link's Awakening too, so you killed two birds with one stone. Unless you're getting the Wind Fish too.",0
"RT @SeanTheTerrible: I don't care how pretty you are, if your personality is trash men are going to treat you accordingly.. That's not tru",0
Highhhhh watching dawn of planet of the apes #StonerNation #LifeComplete,0
"#metal only, honkies!",0
"RT @GirlfriendNotes: reasons to be a mermaid: - no periods - no pants - perfect hair - u get to lure men into their death also, free clam ",0
I think I'm gonna walk around the house free as a bird.,0
RT @mckayllaa: I wish I had pretty colored eyes .,0
"@tyler_wilde I'm just saying, it's not like you were up against a bird-eating spider or something. Bet @Pseudobread coulda done it",0
@ramaxe1965 dubya hates todays teabagger movement.,0
@ClicquotSuave the new nip dropped today rii?,0
"@KenSuttling Yankees playing tonight in the Bronx,3rd game of the current series against the diamondbacks",0
And where do you think unsold items from thrift stores go? The garbage. Think of all the great games that are in trash dumps as we speak :(,0
RT @musedbymusic: Thanks to @TonyJRodriguez I have learned way more than I ever wanted to know about birds.,0
Where would me life be without God and @levimitchell.....seriously I'd probably be living In a trash can haha!,0
RT @2AFight: Muslim Jihadi? Keep Calm and.. http://t.co/iW6HT090s8 #PJNET #tcot #tgdn #ccot #RedNationRising #teaparty #2A #NRA http://t. ,0
@DonLemonCNN @DanaBashCNN u both sorry to give racist @SenTedCruz a platform w his trash language Dana ur intvw was below kindergarten level,0
@DamianHuffaker you're from a trash can,0
Clearly I'm afraid of birds http://t.co/qA4O9Dr4vp,0
YES! RT @Merky__: NO! RT @HuffPostTaste Will YOU buy the new Caramel Apple flavor of Oreos? http://t.co/K8zUp4Ynzf http://t.co/AMuZaTglx8,0
Aye a nicca is tired tho!,0
RT @OTRAUpdates2015: Rumours that the boys will be touring around the world for OTRA Tour and it will end in the UK/Ireland as a welcome ho ,0
Thee Bears are trash tho...,0
RT @lordemusic: i am so pleased and proud to have been announced the sole curator of the soundtrack for MOCKINGJAY - PART 1,0
"Laat Zihni Ozdil met rust jullie gemene trollen, hoe durven jullie zijn mening in twijfel te nemen! Zijn zegje is wet en*kuch**kuch*. .water",0
