0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
@Big_Jim777,happy,birthday,you,dirty,little,bird,<pad>,tear,it,up,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
Ayo,I,jus,had,a,mini,heart,attack,behind,the,wheel..north,Philly,n,fire,crackers,don't,mix,I,http://t.co/o5v2E4LFtm,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
This,flappy,bird,game,addicting,.,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
@NotEvanLarkin,@bbcollins32,birds,of,a,feather,flock,together,y'all,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
@AmazinMixBeauti,why?,You,wanna,gimme,a,baby?,You,look,coolie..it,might,could,work,lol,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
RT,@hoez4sale:,Lmao,they,all,trash,beforeafter,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
Looks,like,a,tool,but,is,useful,as,a,clay,hammer,#fag,@hOPPondis,http://t.co/K7wqlAWRwM,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
Video:,Charlie,Baker,remembers,Tom,Menino,http://t.co/vdaOWLZksv,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
@LessThanJR,And,the,Yankees,gave,you,a,win.,:),Happy,Birthday!,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
Rudy,Throws,Fastballs,Near,Charlies,Chin..(No,Sweat),Crist,Ducking,Giuliani,Campaign,Politics,In,Florida!,DoG,http://t.co/EJpdwlS5qjs-chin,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
were,gunna,shake,our,honkey,tonk,badonkadonks,(':,@SAMMI_boyden,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
@jazqui,That's,why,I'm,partially,glad,that,I,have,to,say,"""Hi","ho,",Kermit,the,Frog,"here""",to,slip,into,my,Kermit,voice,well.,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
Flappy,bird,on,bull....,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
@Brelston,I,realized,it's,the,one,on,Link's,Awakening,"too,",so,you,killed,two,birds,with,one,stone.,Unless,you're,getting,the,Wind,Fish,too.,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
RT,@SeanTheTerrible:,I,don't,care,how,pretty,you,"are,",if,your,personality,is,trash,men,are,going,to,treat,you,accordingly..,That's,not,tru,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
Highhhhh,watching,dawn,of,planet,of,the,apes,#StonerNation,#LifeComplete,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
#metal,"only,",honkies!,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
RT,@GirlfriendNotes:,reasons,to,be,a,mermaid:,-,no,periods,-,no,pants,-,perfect,hair,-,u,get,to,lure,men,into,their,death,"also,",free,clam,<pad>,<pad>,<pad>
I,think,I'm,gonna,walk,around,the,house,free,as,a,bird.,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
RT,@mckayllaa:,I,wish,I,had,pretty,colored,eyes,.,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
@tyler_wilde,I'm,just,"saying,",it's,not,like,you,were,up,against,a,bird-eating,spider,or,something.,Bet,@Pseudobread,coulda,done,it,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
@ramaxe1965,dubya,hates,todays,teabagger,movement.,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
