0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Arroz,con,pollo,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
@ronniecaine,so,'how,bout,now',was,just,trash,huh.,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
RT,@vinehumor:,Flappy,bird,is,taking,over,my,life.,I,can,hear,the,bird,crashing,every,time,something,goes,wrong.,https://t.co/kuLDr4mabp,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
This,one,night,I,was,tripping,off,brownies,I,put,my,running,shoes,on,and,I,was,still,in,"pjs,",it,was,2am,!,http://t.co/UwmBpCOMNE,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
@GroteSmurf0,goh,d,AnoniemeAso,meeting,heeft,weer,pauze.Nog,steeds,niet,bij,hoofdstuk:hoe,haal,ik,m'n,ID?,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
@DeJLoaf,mixtape,sell,sole,got,some,bangers!,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
<pad>,GRAND,OPENING,!,TOP,CLASS,Oriental,Massage,PERFECT,!,/,http://t.co/4Hhxk9MKHe,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
Former,TOWIE,star,Charlie,King,comes,out,http://t.co/yU3XKXbCyt,@YouTube,Inspiring.,Congrats,@CharlieKing85,and,welcome,to,the,family,:),<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
@1SonofYahweh,&amp;,what,we,do,with,our,foolish,proud,selves?,Roll,our,"eyes,",pretend,that,we,dont,"see,",mock,or,laff,at,"them,",arrogant,attitudes,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
"""@SportsCenter:",Eli,Manning,just,threw,his,NFL-leading,27th,interception,of,the,"season.""",Lmao,trash,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
