0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
RT,@mandylea25:,I've,talked,too,much,trash,for,OU,to,lose,today..,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
coon,RT,@HumbleTeej:,&lt;fills,coffee,up,halfway,&lt;uses,11,Irish,cremes,to,fill,other,half,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
Some,Douche,cubs,redneck,cubs,fan,freaked,out,asking,if,bites...,No,you,bloody,BERK!,He's,like,the,http://t.co/ulc6CMVtki,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
@GregHillWAAF,soo,what,you,putting,on,those,crackers,Gregg?,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
@DanWolken,It's,idiotic,opinions,like,this,that,make,polls,less,than,trash.,Polls,weren't,a,problem,when,people,with,integrity,were,voting.,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
-Can,I,help,you?,-Maybe.,You,gotta,card,for,Sorry,that,tranny,died,in,your,motel,room;,now,your,wife,knows.,Heres,an,Applebees,gift,card?,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
@JonJ_07,like,their,players,really,been,talking,trash,about,Bama.,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
I'm,going,to,dress,up,as,trash,for,Halloween.,Oh,"wait,",I,look,like,that,everyday.,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
RT,@karen_gonski:,i,wish,i,was,one,of,those,girls,who,guys,liked,no,matter,what.ike,i,could,wear,sweats,and,my,hair,up,and,they,would,sti,<pad>,<pad>,<pad>,<pad>,<pad>
RT,@HuhWhatsACondom:,This,would,never,happen,at,a,"""non-colored""",award,show,@BETAwards,http://t.co/rUJNu1l7t8,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
RT,@Wyeisha_Davis:,Idc,I,still,watch,twoa,half,men,.,Well,the,old,one,with,Charlie,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
